43.0800 	EXP 	grating: autoDraw = True
43.0966 	EXP 	fixation: autoDraw = False
43.3798 	EXP 	grating: autoDraw = False
43.4816 	DATA 	Keypress: left
43.4966 	EXP 	fixation: autoDraw = False
43.4966 	EXP 	grating: autoDraw = False
43.4966 	EXP 	grating: ori = -10.0
43.4966 	EXP 	fixation: autoDraw = True
43.9808 	INFO 	Keyboard events cleared
43.9803 	EXP 	grating: autoDraw = True
43.9969 	EXP 	fixation: autoDraw = False
44.2796 	EXP 	grating: autoDraw = False
44.3315 	DATA 	Keypress: left
44.3464 	EXP 	fixation: autoDraw = False
44.3464 	EXP 	grating: autoDraw = False
44.3464 	EXP 	grating: ori = -9.5
44.3464 	EXP 	fixation: autoDraw = True
44.8301 	INFO 	Keyboard events cleared
44.8298 	EXP 	grating: autoDraw = True
44.8464 	EXP 	fixation: autoDraw = False
45.1298 	EXP 	grating: autoDraw = False
45.1820 	DATA 	Keypress: left
45.1969 	EXP 	fixation: autoDraw = False
45.1969 	EXP 	grating: autoDraw = False
45.1969 	EXP 	grating: ori = 9.5
45.1969 	EXP 	fixation: autoDraw = True
45.6972 	INFO 	Keyboard events cleared
45.6968 	EXP 	fixation: autoDraw = False
45.6968 	EXP 	grating: autoDraw = True
45.9963 	EXP 	grating: autoDraw = False
46.0815 	DATA 	Keypress: right
46.0963 	EXP 	fixation: autoDraw = False
46.0963 	EXP 	grating: autoDraw = False
46.0963 	EXP 	grating: ori = 9.5
46.0963 	EXP 	fixation: autoDraw = True
46.5800 	INFO 	Keyboard events cleared
46.5796 	EXP 	grating: autoDraw = True
46.5965 	EXP 	fixation: autoDraw = False
46.8795 	EXP 	grating: autoDraw = False
46.9812 	DATA 	Keypress: right
46.9962 	EXP 	fixation: autoDraw = False
46.9962 	EXP 	grating: autoDraw = False
46.9962 	EXP 	grating: ori = 9.0
46.9962 	EXP 	fixation: autoDraw = True
47.4801 	INFO 	Keyboard events cleared
47.4797 	EXP 	grating: autoDraw = True
47.4964 	EXP 	fixation: autoDraw = False
47.7796 	EXP 	grating: autoDraw = False
47.8148 	DATA 	Keypress: left
47.8296 	EXP 	fixation: autoDraw = False
47.8296 	EXP 	grating: autoDraw = False
47.8296 	EXP 	grating: ori = 9.5
47.8296 	EXP 	fixation: autoDraw = True
48.3135 	INFO 	Keyboard events cleared
48.3132 	EXP 	grating: autoDraw = True
48.3296 	EXP 	fixation: autoDraw = False
48.6129 	EXP 	grating: autoDraw = False
48.7642 	DATA 	Keypress: right
48.7795 	EXP 	fixation: autoDraw = False
48.7795 	EXP 	grating: autoDraw = False
48.7795 	EXP 	grating: ori = -9.5
48.7795 	EXP 	fixation: autoDraw = True
49.2631 	INFO 	Keyboard events cleared
49.2627 	EXP 	grating: autoDraw = True
49.2794 	EXP 	fixation: autoDraw = False
49.5630 	EXP 	grating: autoDraw = False
49.6309 	DATA 	Keypress: right
49.6460 	EXP 	fixation: autoDraw = False
49.6460 	EXP 	grating: autoDraw = False
49.6460 	EXP 	grating: ori = 10.0
49.6460 	EXP 	fixation: autoDraw = True
49.7477 	DATA 	Keypress: left
50.1300 	INFO 	Keyboard events cleared
50.1296 	EXP 	grating: autoDraw = True
50.1467 	EXP 	fixation: autoDraw = False
50.4295 	EXP 	grating: autoDraw = False
50.5651 	DATA 	Keypress: left
50.5793 	EXP 	fixation: autoDraw = False
50.5793 	EXP 	grating: autoDraw = False
50.5793 	EXP 	grating: ori = 10.5
50.5793 	EXP 	fixation: autoDraw = True
51.0800 	INFO 	Keyboard events cleared
51.0796 	EXP 	fixation: autoDraw = False
51.0796 	EXP 	grating: autoDraw = True
51.3794 	EXP 	grating: autoDraw = False
51.4646 	DATA 	Keypress: right
51.4794 	EXP 	fixation: autoDraw = False
51.4794 	EXP 	grating: autoDraw = False
51.4794 	EXP 	grating: ori = -10.5
51.4794 	EXP 	fixation: autoDraw = True
51.9797 	INFO 	Keyboard events cleared
51.9794 	EXP 	fixation: autoDraw = False
51.9794 	EXP 	grating: autoDraw = True
52.2646 	DATA 	Keypress: left
52.2796 	EXP 	grating: autoDraw = False
52.2796 	EXP 	fixation: autoDraw = False
52.2796 	EXP 	grating: autoDraw = False
52.2796 	EXP 	grating: ori = 10.5
52.2796 	EXP 	fixation: autoDraw = True
52.7632 	INFO 	Keyboard events cleared
52.7628 	EXP 	grating: autoDraw = True
52.7797 	EXP 	fixation: autoDraw = False
53.0626 	EXP 	grating: autoDraw = False
53.2311 	DATA 	Keypress: right
53.2458 	EXP 	fixation: autoDraw = False
53.2458 	EXP 	grating: autoDraw = False
53.2458 	EXP 	grating: ori = 10.0
53.2458 	EXP 	fixation: autoDraw = True
53.7298 	INFO 	Keyboard events cleared
53.7293 	EXP 	grating: autoDraw = True
53.7461 	EXP 	fixation: autoDraw = False
54.0292 	EXP 	grating: autoDraw = False
54.1145 	DATA 	Keypress: right
54.1292 	EXP 	fixation: autoDraw = False
